rank,name,page,source_page,line_x,line_y,rough_x,rough_y,dx,dy,line_ink,edge_f1,chamfer,match_score,decision,notes,vlm_same_region,vlm_usable,vlm_score,vlm_reason,vlm_decision
28,kuripm_0011_l2160_2880_r2288_3072.jpg,0011,page0011.clip,2160,2880,2288,3072,128,192,0.02198784722222222,0.7407894552090963,5.526735067367554,3.0182542559228724,,,False,False,1.0,Different body parts/objects,reject
29,kuripm_0034_l3600_5760_r3728_5920.jpg,0034,page0034.clip,3600,5760,3728,5920,128,160,0.06833333333333333,0.7017065671485797,5.329957962036133,3.003572460708866,,,True,True,5.0,"Hand anatomy matches, no significant misalignment or rotation.",accept
30,kuripm_0005_l2160_5760_r2264_5872.jpg,0005,page0005.clip,2160,5760,2264,5872,104,112,0.0219140625,0.6968430805300548,4.817996144294739,2.9798919303017675,,,True,True,5.0,"Rough and line align precisely, matching local structure and orientation.",accept
31,kuripm_0034_l2160_5760_r2312_5936.jpg,0034,page0034.clip,2160,5760,2312,5936,152,176,0.05594618055555556,0.6743566823421026,5.174544334411621,2.9546600741540363,,,True,True,5.0,"Regions align precisely, no structural mismatch.",accept
32,kuripm_0011_l0720_5040_r0872_5176.jpg,0011,page0011.clip,720,5040,872,5176,152,136,0.0541015625,0.6808834938164561,5.282650113105774,2.922723819642061,,,True,True,5.0,Rough and line align perfectly in shape and structure.,accept
33,kuripm_0008_l2880_4320_r2808_4256.jpg,0008,page0008.clip,2880,4320,2808,4256,-72,-64,0.03404513888888889,0.6886781556824956,4.853195071220398,2.850962158525257,,,True,True,5.0,"Aligns precisely, matches structure and detail.",accept
34,kuripm_0040_l0720_3600_r0640_3792.jpg,0040,page0040.clip,720,3600,640,3792,-80,192,0.08714409722222222,0.6902056794815493,5.422461032867432,2.817988876043471,,,True,True,5.0,"Rough and line align precisely, overlay confirms matching edges.",accept
35,kuripm_0029_l2160_2160_r2280_2272.jpg,0029,page0029.clip,2160,2160,2280,2272,120,112,0.01189236111111111,0.7440022696206122,6.676404714584351,2.812677378369135,,,False,False,0.0,"Regions mismatched, no clear correspondence",reject
36,kuripm_0040_l2880_2880_r2760_3072.jpg,0040,page0040.clip,2880,2880,2760,3072,-120,192,0.06703125,0.6623461708750714,5.779163599014282,2.773292930579809,,,True,True,5.0,Rough and line align precisely on same anatomical region with consistent orientation and detail.,accept
37,kuripm_0034_l2160_4320_r2312_4512.jpg,0034,page0034.clip,2160,4320,2312,4512,152,192,0.04779513888888889,0.660488302081227,5.463133096694946,2.7535333717550197,,,True,True,5.0,Aligns anatomically and structurally,accept
38,kuripm_0032_l3600_4320_r3520_4264.jpg,0032,page0032.clip,3600,4320,3520,4264,-80,-56,0.060360243055555554,0.6481788914728918,5.292358994483948,2.730951714522635,,,True,True,5.0,Regions align precisely; red/blue overlay confirms consistent local structure.,accept
39,kuripm_0028_l0720_5040_r0904_5232.jpg,0028,page0028.clip,720,5040,904,5232,184,192,0.07563368055555555,0.665314950916441,5.228939056396484,2.701343180989882,,,True,True,5.0,"Regions align precisely, overlay confirms matching structure.",accept
40,kuripm_0025_l4320_2160_r4352_2312.jpg,0025,page0025.clip,4320,2160,4352,2312,32,152,0.016879340277777776,0.6702995606851475,4.501051545143127,2.6943522106437987,,,False,False,1.0,"Regions mismatched, not aligned",reject
41,kuripm_0032_l0720_2160_r0768_2208.jpg,0032,page0032.clip,720,2160,768,2208,48,48,0.018441840277777777,0.6580775591760648,5.6518025398254395,2.6865028043540047,,,True,True,5.0,Matches anatomical structure and orientation,accept
42,kuripm_0033_l0720_4320_r0904_4496.jpg,0033,page0033.clip,720,4320,904,4496,184,176,0.04703125,0.6630147641581349,6.18611752986908,2.6702400589928335,,,True,True,5.0,Sketch and lineart align in form and structure.,accept
43,kuripm_0032_l1440_0720_r1464_0848.jpg,0032,page0032.clip,1440,720,1464,848,24,128,0.017395833333333333,0.6892223458827443,6.217404723167419,2.662183213178838,,,True,True,5.0,Rough and line align perfectly in shape and orientation.,accept
44,kuripm_0033_l1440_4320_r1600_4504.jpg,0033,page0033.clip,1440,4320,1600,4504,160,184,0.0316796875,0.6820031519770424,5.978808641433716,2.66100183631921,,,False,False,1.0,"Regions mismatched, not aligned",reject
45,kuripm_0009_l4320_3600_r4344_3656.jpg,0009,page0009.clip,4320,3600,4344,3656,24,56,0.023871527777777776,0.6431339196592359,5.77904736995697,2.6518721839126678,,,False,False,1.0,"Regions mismatched, not aligned",reject
46,kuripm_0033_l1440_5040_r1600_5192.jpg,0033,page0033.clip,1440,5040,1600,5192,160,152,0.027578125,0.6964066387079518,6.55040979385376,2.6203351225237674,,,True,True,5.0,Rough and line align precisely in form and structure.,accept
47,kuripm_0011_l2160_2160_r2296_2352.jpg,0011,page0011.clip,2160,2160,2296,2352,136,192,0.07397135416666667,0.6476272897285481,5.64641547203064,2.606616208297848,,,True,True,5.0,"Regions align precisely, no structural mismatch.",accept
48,kuripm_0033_l2160_4320_r2288_4504.jpg,0033,page0033.clip,2160,4320,2288,4504,128,184,0.031158854166666666,0.617516185209965,5.667179822921753,2.5991364062789746,,,True,True,5.0,Sketch and line match anatomically and spatially.,accept
49,kuripm_0032_l3600_2880_r3520_2904.jpg,0032,page0032.clip,3600,2880,3520,2904,-80,24,0.033854166666666664,0.6711445471716769,6.06793212890625,2.5920731142711517,,,True,True,5.0,"Regions align precisely, edges match, no structural mismatch.",accept
50,kuripm_0016_l0000_5040_r0000_5224.jpg,0016,page0016.clip,0,5040,0,5224,0,184,0.017235243055555554,0.7108539663631981,6.406143069267273,2.5806174020840094,,,False,False,1.0,Different body parts/objects,reject
51,kuripm_0007_l1440_0720_r1256_0848.jpg,0007,page0007.clip,1440,720,1256,848,-184,128,0.015894097222222223,0.7347468409803021,6.76894211769104,2.5761391140857186,,,False,False,1.0,"Regions mismatched, not aligned",reject
52,kuripm_0027_l2160_5040_r2288_5232.jpg,0027,page0027.clip,2160,5040,2288,5232,128,192,0.05500868055555556,0.6188653049011881,5.805171251296997,2.5505252657483033,,,True,True,5.0,Aligns precisely in anatomy and orientation,accept
53,kuripm_0011_l2880_2880_r2992_3072.jpg,0011,page0011.clip,2880,2880,2992,3072,112,192,0.030299479166666667,0.6347191824888276,6.003768444061279,2.5488456156469366,,,True,True,5.0,Rough and line align perfectly in anatomy and orientation.,accept
54,kuripm_0034_l1440_5760_r1616_5928.jpg,0034,page0034.clip,1440,5760,1616,5928,176,168,0.040581597222222224,0.6728851667165335,6.945341110229492,2.547565736105561,,,True,True,5.0,Rough and line align precisely on same anatomical region with clear correspondence.,accept
55,kuripm_0034_l2160_5040_r2312_5224.jpg,0034,page0034.clip,2160,5040,2312,5224,152,184,0.03752604166666667,0.6378542411451612,5.757161617279053,2.532340508186362,,,True,True,5.0,"Regions align closely, edges match, suitable for training.",accept
56,kuripm_0005_l2880_3600_r2952_3792.jpg,0005,page0005.clip,2880,3600,2952,3792,72,192,0.04036024305555556,0.6785686599750848,7.597243070602417,2.5096489175410244,,,True,True,5.0,"Regions align precisely, edges match, no structural mismatch.",accept
57,kuripm_0011_l3600_5040_r3696_5128.jpg,0011,page0011.clip,3600,5040,3696,5128,96,88,0.031041666666666665,0.6339740369172777,5.2309205532073975,2.5000997705012136,,,True,True,5.0,Rough and line align precisely in structure and orientation.,accept
58,kuripm_0011_l2880_3600_r2992_3792.jpg,0011,page0011.clip,2880,3600,2992,3792,112,192,0.04397569444444444,0.6228353274390049,5.673515558242798,2.4947128781111343,,,True,True,5.0,Rough and line align precisely in form and structure.,accept
59,kuripm_0034_l1440_5040_r1616_5208.jpg,0034,page0034.clip,1440,5040,1616,5208,176,168,0.037473958333333335,0.7006013536757825,7.50604772567749,2.4583268318435527,,,True,True,5.0,Regions align closely; lines match rough sketch contours.,accept
60,kuripm_0032_l0720_5760_r0776_5656.jpg,0032,page0032.clip,720,5760,776,5656,56,-104,0.05400173611111111,0.65660685748022,7.140657901763916,2.453705106116885,,,True,True,5.0,"Regions align precisely, no structural mismatch.",accept
61,kuripm_0020_l4320_5040_r4376_4976.jpg,0020,page0020.clip,4320,5040,4376,4976,56,-64,0.010546875,0.6282463107753472,5.827144384384155,2.4525314058842964,,,False,False,1.0,"Regions mismatched, no clear correspondence",reject
62,kuripm_0005_l0000_0720_r0032_0568.jpg,0005,page0005.clip,0,720,32,568,32,-152,0.013914930555555555,0.6192690839146786,5.168399333953857,2.4514029498054484,,,True,True,5.0,Rough and line align perfectly in region and orientation.,accept
63,kuripm_0032_l0720_5040_r0776_4952.jpg,0032,page0032.clip,720,5040,776,4952,56,-88,0.0537109375,0.6450040788047836,7.223024845123291,2.4215772534498794,,,True,True,5.0,Sketch and lineart align perfectly in shape and detail.,accept
64,kuripm_0023_l0720_4320_r0864_4456.jpg,0023,page0023.clip,720,4320,864,4456,144,136,0.033667534722222225,0.6461078884710519,5.984995484352112,2.4210975597870656,,,True,True,5.0,Sketch and line align precisely in form and orientation.,accept
65,kuripm_0009_l2880_3600_r2872_3584.jpg,0009,page0009.clip,2880,3600,2872,3584,-8,-16,0.10222222222222223,0.6294097292077415,6.443165063858032,2.420171862242351,,,True,True,5.0,Rough and line align precisely on same region with clear correspondence.,accept
66,kuripm_0028_l2880_3600_r2992_3792.jpg,0028,page0028.clip,2880,3600,2992,3792,112,192,0.019921875,0.6552266540714781,6.88566517829895,2.4182630159479697,,,True,True,5.0,Sketch and line align precisely in form and orientation.,accept
67,kuripm_0009_l0720_1440_r0704_1432.jpg,0009,page0009.clip,720,1440,704,1432,-16,-8,0.03710069444444444,0.6158916386983149,5.875490427017212,2.3873488214848835,,,True,True,5.0,"Rough and line align precisely, overlay confirms matching contours.",accept
68,kuripm_0005_l4481_1440_r4441_1376.jpg,0005,page0005.clip,4481,1440,4441,1376,-40,-64,0.025768229166666667,0.6350027884006791,6.608206629753113,2.385471184467365,,,True,True,5.0,Rough and line align perfectly in structure and region.,accept
69,kuripm_0029_l3600_5760_r3424_5912.jpg,0029,page0029.clip,3600,5760,3424,5912,-176,152,0.017335069444444445,0.7179395680372549,8.24216604232788,2.3811013192817607,,,False,False,1.0,"Regions mismatched, not aligned",reject
70,kuripm_0023_l2160_3600_r2264_3776.jpg,0023,page0023.clip,2160,3600,2264,3776,104,176,0.07865451388888889,0.606610524908954,6.355019807815552,2.3367131380647916,,,True,True,5.0,"Regions align precisely, edges match, no rotation or separation.",accept
71,kuripm_0008_l3600_5760_r3536_5664.jpg,0008,page0008.clip,3600,5760,3536,5664,-64,-96,0.02494357638888889,0.6653126219762834,7.748049020767212,2.3352794787547744,,,True,True,5.0,"Consistent local region, aligned shapes, clear overlay match",accept
72,kuripm_0028_l1440_5040_r1592_5232.jpg,0028,page0028.clip,1440,5040,1592,5232,152,192,0.030993923611111113,0.6450182938852416,6.598732948303223,2.3262293319049636,,,True,True,5.0,Aligns precisely in structure and orientation.,accept
73,kuripm_0008_l0720_5760_r0712_5568.jpg,0008,page0008.clip,720,5760,712,5568,-8,-192,0.0348828125,0.6147945148728886,6.635076284408569,2.3161255821201214,,,False,False,1.0,"Regions mismatched, not aligned",reject
74,kuripm_0032_l2880_5760_r2848_5648.jpg,0032,page0032.clip,2880,5760,2848,5648,-32,-112,0.059756944444444446,0.6045502476255431,6.7592453956604,2.287326742028512,,,True,True,5.0,"Aligned facial features, consistent proportions",accept
75,kuripm_0033_l1440_5760_r1608_5896.jpg,0033,page0033.clip,1440,5760,1608,5896,168,136,0.04107204861111111,0.599519270486128,6.583301305770874,2.2721957752850295,,,True,True,5.0,"Regions align precisely, overlay confirms matching contours.",accept
76,kuripm_0008_l2880_3600_r2840_3432.jpg,0008,page0008.clip,2880,3600,2840,3432,-40,-168,0.024401041666666668,0.635562862649063,6.369036555290222,2.259011767399472,,,True,True,5.0,Rough and line align perfectly in shape and orientation.,accept
77,kuripm_0008_l1440_5040_r1384_4920.jpg,0008,page0008.clip,1440,5040,1384,4920,-56,-120,0.022894965277777776,0.6464615383931305,6.715144634246826,2.250345212212728,,,False,False,1.0,"Regions mismatched, not aligned",reject
78,kuripm_0001_l2160_2880_r2200_2856.jpg,0001,page0001.clip,2160,2880,2200,2856,40,-24,0.04638020833333333,0.6153878894589683,7.398601770401001,2.2297508235275454,,,True,True,5.0,Rough and line align precisely in structure and orientation.,accept
79,kuripm_0009_l0720_2880_r0696_2888.jpg,0009,page0009.clip,720,2880,696,2888,-24,8,0.03463541666666667,0.6025824909415137,6.893485069274902,2.224278746338528,,,True,True,5.0,Regions align precisely; overlay confirms matching structure.,accept
80,kuripm_0038_l0000_3600_r0016_3408.jpg,0038,page0038.clip,0,3600,16,3408,16,-192,0.015160590277777778,0.6929679673433592,7.6705896854400635,2.221930287680046,,,False,False,0.0,"Regions mismatched, not aligned",reject
81,kuripm_0007_l0720_5760_r0888_5952.jpg,0007,page0007.clip,720,5760,888,5952,168,192,0.037747395833333336,0.6099627238261188,6.631936550140381,2.216905181634564,,,True,True,5.0,Rough and line align perfectly in structure and region.,accept
82,kuripm_0040_l1440_3600_r1344_3792.jpg,0040,page0040.clip,1440,3600,1344,3792,-96,192,0.07798611111111112,0.6244885981852745,7.1876280307769775,2.2119507352913654,,,True,True,5.0,"Regions align precisely, no structural mismatch.",accept
83,kuripm_0029_l3600_3600_r3640_3704.jpg,0029,page0029.clip,3600,3600,3640,3704,40,104,0.034926215277777777,0.6716509226159009,7.599855422973633,2.2053593857063136,,,False,False,1.0,"Regions mismatched, no clear shared subject",reject
84,kuripm_0032_l0720_0720_r0768_0840.jpg,0032,page0032.clip,720,720,768,840,48,120,0.07391493055555555,0.6000751002643885,6.993884801864624,2.1850648203742797,,,True,True,5.0,Regions align closely; overlay confirms consistent structure.,accept
85,kuripm_0008_l2160_3600_r2120_3448.jpg,0008,page0008.clip,2160,3600,2120,3448,-40,-152,0.04970052083333333,0.6263227194665705,7.347608327865601,2.1804310533718247,,,True,True,5.0,"Aligns precisely, matches anatomy and structure.",accept
86,kuripm_0031_l3600_5760_r3728_5936.jpg,0031,page0031.clip,3600,5760,3728,5936,128,176,0.026111111111111113,0.6315820095957729,6.708075523376465,2.1780959966715154,,,True,True,5.0,Aligns precisely in shape and orientation,accept
87,kuripm_0012_l2160_4320_r2336_4488.jpg,0012,page0012.clip,2160,4320,2336,4488,176,168,0.018797743055555555,0.6521361718863393,6.766547679901123,2.175625385940221,,,False,False,1.0,"Regions mismatched, no clear correspondence",reject
88,kuripm_0034_l2880_4320_r3008_4512.jpg,0034,page0034.clip,2880,4320,3008,4512,128,192,0.05199652777777778,0.6043494339320006,6.865395784378052,2.172878112630806,,,True,True,5.0,"Rough and line align precisely, matching anatomical structure and orientation.",accept
89,kuripm_0015_l0720_3600_r0872_3744.jpg,0015,page0015.clip,720,3600,872,3744,152,144,0.042608506944444444,0.6214779276731759,7.574802398681641,2.1719733674571464,,,True,True,5.0,Rough and line align perfectly in shape and region.,accept
90,kuripm_0011_l3600_2160_r3696_2352.jpg,0011,page0011.clip,3600,2160,3696,2352,96,192,0.062473958333333336,0.6174656136459379,7.200196027755737,2.171142731637745,,,True,True,5.0,"Regions align precisely, no structural mismatch.",accept
91,kuripm_0023_l0000_4320_r0160_4480.jpg,0023,page0023.clip,0,4320,160,4480,160,160,0.0133984375,0.6447817131944785,6.679698467254639,2.162936785766072,,,False,False,1.0,"Regions mismatched, no clear correspondence",reject
92,kuripm_0019_l1440_3600_r1264_3568.jpg,0019,page0019.clip,1440,3600,1264,3568,-176,-32,0.021484375,0.6500728858309993,6.64311420917511,2.159227924371781,,,False,False,1.0,"Regions mismatched, not aligned",reject
93,kuripm_0007_l1440_5760_r1600_5952.jpg,0007,page0007.clip,1440,5760,1600,5952,160,192,0.03637152777777778,0.6284675617446697,6.696247696876526,2.1524141799869203,,,True,True,5.0,Aligns anatomically and structurally,accept
94,kuripm_0011_l0720_2880_r0848_3040.jpg,0011,page0011.clip,720,2880,848,3040,128,160,0.0308984375,0.632748262129787,7.645259618759155,2.12641673333235,,,True,True,5.0,"Regions align precisely, overlay confirms matching contours.",accept
95,kuripm_0020_l2160_4320_r2208_4272.jpg,0020,page0020.clip,2160,4320,2208,4272,48,-48,0.05176649305555556,0.5990883008123243,7.565001964569092,2.1242761783641457,,,True,True,5.0,Rough and line align precisely on facial features.,accept
96,kuripm_0032_l4320_2880_r4208_2896.jpg,0032,page0032.clip,4320,2880,4208,2896,-112,16,0.02750434027777778,0.6144966220861308,7.483502149581909,2.0971887190256036,,,True,True,5.0,Rough and line align perfectly in anatomy and orientation.,accept
97,kuripm_0005_l2160_3600_r2256_3792.jpg,0005,page0005.clip,2160,3600,2256,3792,96,192,0.022278645833333333,0.5691208707514183,6.9783923625946045,2.08779320723028,,,True,True,5.0,Sketch and line align precisely on facial features.,accept
98,kuripm_0015_l2160_4320_r2328_4448.jpg,0015,page0015.clip,2160,4320,2328,4448,168,128,0.030868055555555555,0.6061765704490958,7.402978420257568,2.083939075213269,,,True,True,5.0,Rough and line align perfectly in shape and region.,accept
99,kuripm_0032_l2880_3600_r2840_3576.jpg,0032,page0032.clip,2880,3600,2840,3576,-40,-24,0.0634375,0.595002422833625,7.470527410507202,2.077999069146495,,,True,True,5.0,"Regions align precisely, edges match, no misalignment or rotation.",accept
100,kuripm_0033_l3600_4320_r3664_4512.jpg,0033,page0033.clip,3600,4320,3664,4512,64,192,0.0768532986111111,0.5617698996464288,6.668018102645874,2.071875774958102,,,True,True,5.0,Aligned facial features and consistent structure,accept
101,kuripm_0034_l2880_5040_r3016_5216.jpg,0034,page0034.clip,2880,5040,3016,5216,136,176,0.040681423611111114,0.5868583468630423,6.746991395950317,2.047540970372482,,,True,True,5.0,"Aligns precisely, matches local structure",accept
102,kuripm_0034_l1440_4320_r1608_4512.jpg,0034,page0034.clip,1440,4320,1608,4512,168,192,0.029548611111111112,0.5707442905363452,6.960495471954346,2.0358529624216177,,,True,True,5.0,Sketch and line align precisely in form and structure.,accept
103,kuripm_0027_l2160_3600_r2312_3792.jpg,0027,page0027.clip,2160,3600,2312,3792,152,192,0.014522569444444444,0.6745257020520645,9.212282180786133,2.0082043347784904,,,False,False,1.0,"Regions mismatched, not aligned",reject
104,kuripm_0035_l2160_5040_r2312_5216.jpg,0035,page0035.clip,2160,5040,2312,5216,152,176,0.021410590277777777,0.6390811462736041,8.194611549377441,2.00695603040712,,,True,True,5.0,"Aligns precisely, matches local structure",accept
105,kuripm_0040_l1440_0720_r1360_0912.jpg,0040,page0040.clip,1440,720,1360,912,-80,192,0.06986111111111111,0.5950171617019374,7.4806036949157715,1.9834319877807913,,,True,True,5.0,"Rough and line align precisely, matching local structure and orientation.",accept
106,kuripm_0005_l3600_4320_r3648_4480.jpg,0005,page0005.clip,3600,4320,3648,4480,48,160,0.0208203125,0.5718162240751952,7.3695878982543945,1.9818252539041143,,,True,True,5.0,Rough and line align closely in anatomy and orientation.,accept
107,kuripm_0033_l2880_4320_r2992_4496.jpg,0033,page0033.clip,2880,4320,2992,4496,112,176,0.060455729166666666,0.5942554159540694,7.834482431411743,1.9704193839813602,,,True,True,5.0,Sketch and line match anatomically and spatially.,accept
108,kuripm_0032_l2880_4320_r2848_4264.jpg,0032,page0032.clip,2880,4320,2848,4264,-32,-56,0.04415798611111111,0.5770334816110853,7.689010858535767,1.9697658400565712,,,True,True,5.0,Rough and line align precisely on facial features.,accept
109,kuripm_0008_l3600_4320_r3496_4184.jpg,0008,page0008.clip,3600,4320,3496,4184,-104,-136,0.022105034722222222,0.6067862002054129,8.395824909210205,1.9630877503556092,,,True,True,5.0,Rough and line align perfectly in shape and region.,accept
110,kuripm_0032_l4320_3600_r4200_3576.jpg,0032,page0032.clip,4320,3600,4200,3576,-120,-24,0.05392795138888889,0.5764546394339226,7.8993377685546875,1.9370093618278927,,,True,True,5.0,Sketch and line match in form and structure.,accept
111,kuripm_0032_l3600_3600_r3512_3568.jpg,0032,page0032.clip,3600,3600,3512,3568,-88,-32,0.07864149305555555,0.5597806165132613,7.444968938827515,1.9303936511272441,,,True,True,5.0,"Regions align precisely, edges match, no misalignment or rotation.",accept
112,kuripm_0025_l1440_5040_r1472_4944.jpg,0025,page0025.clip,1440,5040,1472,4944,32,-96,0.029752604166666665,0.5900665777981038,7.238164067268372,1.9198627937766202,,,False,False,1.0,"Regions mismatched, not aligned",reject
113,kuripm_0032_l2160_2160_r2136_2200.jpg,0032,page0032.clip,2160,2160,2136,2200,-24,40,0.0216796875,0.6008891995955266,8.227091789245605,1.8921572901005028,,,False,False,1.0,"Regions mismatched, no clear correspondence",reject
114,kuripm_0029_l0000_2880_r0176_2904.jpg,0029,page0029.clip,0,2880,176,2904,176,24,0.018806423611111112,0.5837617803874052,7.66024923324585,1.8902752953146764,,,True,True,5.0,Rough and line align perfectly in form and orientation.,accept
115,kuripm_0032_l2880_5040_r2840_4952.jpg,0032,page0032.clip,2880,5040,2840,4952,-40,-88,0.029244791666666665,0.5774102513618167,7.829698920249939,1.8881699463425552,,,True,True,5.0,Rough and line align precisely in form and structure.,accept
116,kuripm_0009_l3600_1440_r3608_1440.jpg,0009,page0009.clip,3600,1440,3608,1440,8,0,0.05963975694444444,0.5647926490470953,7.683299779891968,1.874056433783976,,,True,True,5.0,Regions align closely; lines match rough sketch contours.,accept
